coordinates,mechanic_stairs,line,url_linea,elevator,accesible,station
" -3.6924180862691784, 40.446577042902604 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-618,True,True,Nuevos Ministerios
" -3.5271847560338285, 40.41776380376927 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-759,True,True,Henares
" -3.525504191899041, 40.422951678568836 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-758,True,True,Jarama
" -3.535417765096221, 40.42441070943472 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-757,True,True,San Fernando
" -3.5479311641242512, 40.42514488006425 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-756,True,True,La Rambla
" -3.561193228398721, 40.423729905298636 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-755,True,True,Coslada Central
" -3.569198792073217, 40.42249256252064 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-754,True,True,Barrio del Puerto
" -3.569198792073217, 40.42249256252064 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-751,True,True,Estadio Metropolitano
" -3.6078871300557416, 40.43298035455762 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-701,False,False,Las Musas
" -3.6154696062824123, 40.427985259797985 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-702,False,False,San Blas
" -3.625725983210804, 40.42798425779678 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-703,False,False,Simancas
" -3.625725983210804, 40.42798425779678 ",True,linea-7,https://www.metromadrid.es/es/linea/linea-7#estacion-704,False,False,García Noblejas
" -3.653538626506948, 40.4854519186063 ",False,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5115,False,True,Álvarez de Villaamil
" -3.653538626506948, 40.4854519186063 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5116,True,True,Blasco Ibáñez
" -3.653538626506948, 40.4854519186063 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5117,True,True,María Tudor
" -3.6650747017548797, 40.50543098507407 ",False,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-5118,False,True,Palas de Rey
" -3.669446787174648, 40.50832462832863 ",True,ml1,https://www.metromadrid.es/es/linea/ml1#estacion-1053,True,True,Las Tablas
" -3.812116233154177, 40.34523919601582 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1202,True,True,Parque de Lisboa
" -3.812116233154177, 40.34523919601582 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1203,True,True,Alcorcón Central
" -3.8493434114365463, 40.345890739787706 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1204,True,True,Parque Oeste
" -3.872188547431641, 40.33511700914022 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1205,True,True,Universidad Rey Juan Carlos
" -3.872188547431641, 40.33511700914022 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1206,True,True,Móstoles Central
" -3.8648944898656326, 40.32167611681609 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1207,True,True,Pradillo
" -3.8648944898656326, 40.32167611681609 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1208,True,True,Hospital de Móstoles
" -3.8648944898656326, 40.32167611681609 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1209,True,True,Manuela Malasaña
" -3.8376919076087863, 40.29680381534007 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1210,True,True,Loranca
" -3.8164270663524102, 40.28574839354916 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1212,True,True,Hospital de Fuenlabrada
" -3.8063265863569726, 40.28517056325265 ",True,linea-12-metrosur,https://www.metromadrid.es/es/linea/linea-12-metrosur#estacion-1213,True,True,Parque Europa
" -3.7039784766540205, 40.446966678007556 ",True,linea-6-circular,https://www.metromadrid.es/es/linea/linea-6-circular#estacion-106,True,True,Cuatro Caminos
