mechanic_stairs,accesible,station,elevator,line,coordinates
True,True,Chamartín,True,linea-10," -3.682593278115451, 40.4720227901636 "
True,False,Plaza de Castilla,True,linea-10," -3.689182340661554, 40.466893623466774 "
True,False,Cuzco,False,linea-10," -3.689862379719021, 40.458421129185616 "
True,False,Santiago Bernabéu,False,linea-10," -3.689862379719021, 40.458421129185616 "
True,True,La Gavia,True,linea-1," -3.6134711039363103, 40.37018451188382 "
True,True,Las Suertes,True,linea-1," -3.5995338882203147, 40.36322145811309 "
True,True,Valdecarros,True,linea-1," -3.593169836651139, 40.36006503137792 "
True,True,Hospital del Henares,True,linea-7," -3.5345387003640565, 40.41760391086565 "
True,True,Nuevos Ministerios,True,linea-10," -3.6924180862691784, 40.446577042902604 "
True,True,Gregorio Marañón,True,linea-10," -3.6924180862691784, 40.446577042902604 "
True,False,Alonso Martínez,False,linea-10," -3.6924180862691784, 40.446577042902604 "
True,False,Tribunal,False,linea-10," -3.701109289546837, 40.426182305029535 "
True,True,Plaza de España,True,linea-10," -3.701109289546837, 40.426182305029535 "
True,True,Príncipe Pío,True,linea-10," -3.701109289546837, 40.426182305029535 "
False,True,Lago,True,linea-10," -3.7356377170839976, 40.41640917765352 "
False,True,Batán,True,linea-10," -3.7356377170839976, 40.41640917765352 "
True,True,Casa de Campo,True,linea-10," -3.7610192808902423, 40.40319981212787 "
True,True,Colonia Jardín,True,linea-10," -3.774618016060599, 40.39697434800015 "
True,True,Aviación Española,True,linea-10," -3.774618016060599, 40.39697434800015 "
True,True,Cuatro Vientos,True,linea-10," -3.791525479765706, 40.377697576926536 "
True,True,Joaquín Vilumbrales,True,linea-10," -3.791525479765706, 40.377697576926536 "
True,True,Puerta del Sur,True,linea-10," -3.812116233154177, 40.34523919601582 "
True,True,Argüelles,True,linea-4," -3.715975031788373, 40.430658770692084 "
True,True,Henares,True,linea-7," -3.5271847560338285, 40.41776380376927 "
True,True,Jarama,True,linea-7," -3.525504191899041, 40.422951678568836 "
True,True,San Fernando,True,linea-7," -3.535417765096221, 40.42441070943472 "
True,True,La Rambla,True,linea-7," -3.5479311641242512, 40.42514488006425 "
True,True,Coslada Central,True,linea-7," -3.561193228398721, 40.423729905298636 "
True,True,Barrio del Puerto,True,linea-7," -3.569198792073217, 40.42249256252064 "
True,True,Estadio Metropolitano,True,linea-7," -3.569198792073217, 40.42249256252064 "
True,False,Las Musas,False,linea-7," -3.6078871300557416, 40.43298035455762 "
True,False,San Blas,False,linea-7," -3.6154696062824123, 40.427985259797985 "
True,False,Simancas,False,linea-7," -3.625725983210804, 40.42798425779678 "
True,False,García Noblejas,False,linea-7," -3.625725983210804, 40.42798425779678 "
True,False,Ascao,False,linea-7," -3.6410608382789014, 40.4301975485955 "
True,True,Pueblo Nuevo,True,linea-7," -3.642834403605827, 40.43569222122078 "
True,False,Barrio de la Concepción,False,linea-7," -3.642834403605827, 40.43569222122078 "
False,False,San Bernardo,False,linea-4," -3.7055818156463136, 40.43001095773282 "
False,False,Bilbao,False,linea-4," -3.702188295886296, 40.42904963582931 "
True,False,Alonso Martínez,False,linea-4," -3.702188295886296, 40.42904963582931 "
False,False,Colón,False,linea-4," -3.702188295886296, 40.42904963582931 "
False,False,Serrano,False,linea-4," -3.686637031792093, 40.42543132477729 "
False,False,Velázquez,False,linea-4," -3.686637031792093, 40.42543132477729 "
False,True,Goya,True,linea-4," -3.6759123759569388, 40.42453956509611 "
False,False,Lista,False,linea-4," -3.6754163728813944, 40.429164099118886 "
True,False,Diego de León,False,linea-4," -3.6754163728813944, 40.429164099118886 "
True,False,Avenida de América,False,linea-4," -3.6754163728813944, 40.429164099118886 "
True,False,Prosperidad,False,linea-4," -3.6748238288203408, 40.444185596768286 "
True,False,Alfonso XIII,False,linea-4," -3.6679186527610956, 40.44824371776939 "
True,False,Avenida de La Paz,False,linea-4," -3.6611898359519834, 40.4535346495725 "
True,False,Arturo Soria,False,linea-4," -3.6561881225682944, 40.45582440947207 "
True,False,Esperanza,False,linea-4," -3.645820621327798, 40.45944135187602 "
True,True,Canillas,True,linea-4," -3.635600579737649, 40.46380429988092 "
True,False,Parque de las Avenidas,False,linea-7," -3.6629736837416154, 40.4394433512344 "
True,False,Cartagena,False,linea-7," -3.6721577545084036, 40.43933626219724 "
True,False,Avenida de América,False,linea-7," -3.6721577545084036, 40.43933626219724 "
True,True,Gregorio Marañón,True,linea-7," -3.6721577545084036, 40.43933626219724 "
True,True,Alonso Cano,True,linea-7," -3.699255078803118, 40.43837372987501 "
True,True,Canal,True,linea-7," -3.704337220993404, 40.43840594045452 "
True,True,Islas Filipinas,True,linea-7," -3.7137413543146804, 40.43905997233827 "
True,True,Guzmán el Bueno,True,linea-7," -3.7137413543146804, 40.43905997233827 "
True,True,Francos Rodríguez,True,linea-7," -3.7137413543146804, 40.43905997233827 "
True,True,Valdezarza,True,linea-7," -3.7159837953806902, 40.46482081014714 "
True,True,Antonio Machado,True,linea-7," -3.7177043655225064, 40.47021551543151 "
True,True,Peñagrande,True,linea-7," -3.7177043655225064, 40.47021551543151 "
True,True,Avenida de la Ilustración,True,linea-7," -3.7177043655225064, 40.47021551543151 "
