elevator,coordinates,mechanic_stairs,accesible,line,station
False," -3.6692617275650825, 40.42790259126464 ",True,False,linea-6-circular,Avenida de América
False," -3.6692617275650825, 40.42790259126464 ",True,False,linea-6-circular,República Argentina
True," -3.6924180862691784, 40.446577042902604 ",True,True,linea-6-circular,Nuevos Ministerios
True," -3.7039784766540205, 40.446966678007556 ",True,True,linea-6-circular,Cuatro Caminos
True," -3.7039784766540205, 40.446966678007556 ",True,True,linea-6-circular,Guzmán el Bueno
False," -3.7039784766540205, 40.446966678007556 ",True,False,linea-6-circular,Vicente Aleixandre
True," -3.7267950694327174, 40.44355521068528 ",True,True,linea-6-circular,Ciudad Universitaria
True," -3.7194521744896463, 40.43501556410216 ",True,True,linea-6-circular,Moncloa
True," -3.715975031788373, 40.430658770692084 ",True,True,linea-6-circular,Argüelles
True," -3.715975031788373, 40.430658770692084 ",True,True,linea-6-circular,Príncipe Pío
False," -3.715975031788373, 40.430658770692084 ",True,False,linea-6-circular,Puerta del Ángel
False," -3.7389377724748316, 40.40991964465942 ",True,False,linea-6-circular,Alto de Extremadura
True," -3.7453431334630922, 40.40509472797641 ",True,True,linea-6-circular,Lucero
True," -3.812116233154177, 40.34523919601582 ",True,True,linea-12-metrosur,Puerta del Sur
True," -3.709084232835683, 40.499646860142015 ",True,True,linea-9,Paco de Lucía
True," -3.774618016060599, 40.39697434800015 ",True,True,ml2,Colonia Jardín
False," -3.7812192922444003, 40.402290316776224 ",False,True,ml2,Prado de la Vega
False," -3.7812192922444003, 40.402290316776224 ",False,True,ml2,Colonia de los Ángeles
False," -3.7874895769878942, 40.41046401739344 ",False,True,ml2,Prado del Rey
True," -3.7925323903258628, 40.41535749377666 ",True,True,ml2,Somosaguas Sur
False," -3.798744151603397, 40.41935979143648 ",False,True,ml2,Somosaguas Centro
False," -3.704666474578768, 40.41234081319718 ",False,False,linea-1,Antón Martín
False," -3.704666474578768, 40.41234081319718 ",False,False,linea-1,Estación del Arte
True," -3.704666474578768, 40.41234081319718 ",True,True,linea-1,Atocha-Renfe
False," -3.704666474578768, 40.41234081319718 ",False,False,linea-1,Menéndez Pelayo
True," -3.704666474578768, 40.41234081319718 ",True,True,linea-1,Pacífico
False," -3.6690617034429036, 40.3981918732199 ",False,False,linea-1,Puente de Vallecas
False," -3.6641453517860403, 40.395535508762855 ",True,False,linea-1,Nueva Numancia
False," -3.658685211486692, 40.392656804760804 ",True,False,linea-1,Portazgo
False," -3.6539143400014304, 40.39155774604133 ",True,False,linea-1,Buenos Aires
True," -3.6452252835565764, 40.389768700352434 ",True,True,linea-1,Alto del Arenal
True," -3.6452252835565764, 40.389768700352434 ",True,True,linea-1,Miguel Hernández
True," -3.624724516699161, 40.38216046446645 ",True,True,linea-1,Sierra de Guadalupe
True," -3.621308015889596, 40.37959325302986 ",True,True,linea-1,Villa de Vallecas
True," -3.618850584099445, 40.37238110745017 ",True,True,linea-1,Congosto
True," -3.6134711039363103, 40.37018451188382 ",True,True,linea-1,La Gavia
True," -3.5995338882203147, 40.36322145811309 ",True,True,linea-1,Las Suertes
True," -3.593169836651139, 40.36006503137792 ",True,True,linea-1,Valdecarros
True," -3.715975031788373, 40.430658770692084 ",True,True,linea-4,Argüelles
True," -3.6668070437216325, 40.48013291749131 ",True,True,ml1,Pinar de Chamartín
True," -3.663254681489714, 40.48481098673565 ",True,True,ml1,Fuente de la Mora
True," -3.66099048556045, 40.48733745493073 ",True,True,ml1,Virgen del Cortijo
False," -3.653538626506948, 40.4854519186063 ",False,True,ml1,Antonio Saura
False," -3.653538626506948, 40.4854519186063 ",False,True,ml1,Álvarez de Villaamil
True," -3.653538626506948, 40.4854519186063 ",True,True,ml1,Blasco Ibáñez
True," -3.812116233154177, 40.34523919601582 ",True,True,linea-12-metrosur,Parque de Lisboa
True," -3.812116233154177, 40.34523919601582 ",True,True,linea-12-metrosur,Alcorcón Central
True," -3.8493434114365463, 40.345890739787706 ",True,True,linea-12-metrosur,Parque Oeste
True," -3.872188547431641, 40.33511700914022 ",True,True,linea-12-metrosur,Universidad Rey Juan Carlos
True," -3.872188547431641, 40.33511700914022 ",True,True,linea-12-metrosur,Móstoles Central
True," -3.8648944898656326, 40.32167611681609 ",True,True,linea-12-metrosur,Pradillo
True," -3.8648944898656326, 40.32167611681609 ",True,True,linea-12-metrosur,Hospital de Móstoles
True," -3.8648944898656326, 40.32167611681609 ",True,True,linea-12-metrosur,Manuela Malasaña
True," -3.8376919076087863, 40.29680381534007 ",True,True,linea-12-metrosur,Loranca
True," -3.8164270663524102, 40.28574839354916 ",True,True,linea-12-metrosur,Hospital de Fuenlabrada
True," -3.8063265863569726, 40.28517056325265 ",True,True,linea-12-metrosur,Parque Europa
True," -3.7989093691460076, 40.282672409397556 ",True,True,linea-12-metrosur,Fuenlabrada Central
